id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/globals.json,files_with_keywords/builtins.json,files_with_keywords/global.json,files_with_keywords/inspect.json,files_with_keywords/locals.json,files_with_keywords/nonlocal.json,loc_with_kw,loc_of_files_with_keywords/globals.json,loc_of_files_with_keywords/builtins.json,loc_of_files_with_keywords/global.json,loc_of_files_with_keywords/inspect.json,loc_of_files_with_keywords/locals.json,loc_of_files_with_keywords/nonlocal.json,words_with_kw,words_of_files_with_keywords/globals.json,words_of_files_with_keywords/builtins.json,words_of_files_with_keywords/global.json,words_of_files_with_keywords/inspect.json,words_of_files_with_keywords/locals.json,words_of_files_with_keywords/nonlocal.json,keywords/globals.json,keywords/builtins.json,keywords/global.json,keywords/inspect.json,keywords/locals.json,keywords/nonlocal.json
156622791,tot_projects/0/156622791-bec769c6da01ed7f557ea26c9748e57b18505d74,DMSaunders/Recommending-Paths-to-Occupations,bec769c6da01ed7f557ea26c9748e57b18505d74,6,1490,4823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12903112,tot_projects/0/12903112-88b26caf2baab6bf35d7fdfbb95ce25d895b04ec,doyler/ImageGen,88b26caf2baab6bf35d7fdfbb95ce25d895b04ec,2,174,3696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17984295,tot_projects/0/17984295-105ad588a66a8bed8681414f73189a082020c508,jasuarez/minbif,105ad588a66a8bed8681414f73189a082020c508,5,753,2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478161500,tot_projects/0/478161500-394f133b590b7edc344ada994c60186473b32997,DuckMonster/hellgun2,394f133b590b7edc344ada994c60186473b32997,5,238,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233376576,tot_projects/0/233376576-03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec,chiehting/lab,03a9a2f72e4bb03a79dcca9e8c26fe40a0d280ec,22,1112,3526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492495030,tot_projects/0/492495030-160851d1d00d618946de995f764cf392291c2d75,Chocker926/Security_in_action,160851d1d00d618946de995f764cf392291c2d75,3,122,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539077634,tot_projects/0/539077634-ec8c00ef7744e0303214ece67f0c94141fc3848e,sdht010902/12,ec8c00ef7744e0303214ece67f0c94141fc3848e,19,1121,4218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512470465,tot_projects/0/512470465-69ea89f59212f33f874f5f26b69f2e17aa22e222,novuhq/blog,69ea89f59212f33f874f5f26b69f2e17aa22e222,1,140,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108924214,tot_projects/0/108924214-eb57d054ce9041054d921daf31850d6259d8bfcf,masamitsu-murase/wmi_device_manager,eb57d054ce9041054d921daf31850d6259d8bfcf,10,1684,2999,1,0,0,1,0,0,0,171,0,0,171,0,0,0,512,0,0,512,0,0,0,0,0,1,0,0,0
159998480,tot_projects/0/159998480-3abe3509c1d893e7ef3332c436418377e4a11a12,EliZucker/Paranoid-Passenger,3abe3509c1d893e7ef3332c436418377e4a11a12,10,8949,41053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770928505,tot_projects/0/770928505-9b13aa338b619080c86e23e0492a5a82deecfa1c,epfl-cs358/2024sp-exoskeleton,9b13aa338b619080c86e23e0492a5a82deecfa1c,725,265332,989502,87,22,1,74,0,0,8,68047,21429,36,62128,0,0,22587,284839,86030,100,257694,0,0,84568,57,1,226,0,0,9
378234697,tot_projects/0/378234697-f09ce04b69a060ea0ae9817266b3ae477b1431ab,Savzan/croupier_bot,f09ce04b69a060ea0ae9817266b3ae477b1431ab,2,471,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384746716,tot_projects/0/384746716-b09f58e9c4664fa9842eead95b3e54a8027870e2,neuronic-ai/OV_Data_Bridge,b09f58e9c4664fa9842eead95b3e54a8027870e2,67,4098,12132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663115829,tot_projects/0/663115829-82e43c96b1e769eb4337e411654a445131799a66,simyat/Penetration_Testing_Tools,82e43c96b1e769eb4337e411654a445131799a66,7,442,1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277719367,tot_projects/0/277719367-899d4d0ec3ef9bf7be79d58ff05d686358db4a15,JadeSpringLee/myblogs,899d4d0ec3ef9bf7be79d58ff05d686358db4a15,13,918,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126629234,tot_projects/0/126629234-cc66c2719b3409f34d3cbc0f545b54ba0a519c88,puhrez/puhrez.github.io,cc66c2719b3409f34d3cbc0f545b54ba0a519c88,23,900,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338297738,tot_projects/0/338297738-afc2ca1f940fcfaed60398276b7ffaa6fe83ffec,Samurnihs/NGS_analysis_pipeline,afc2ca1f940fcfaed60398276b7ffaa6fe83ffec,11,1011,4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1719771,tot_projects/0/1719771-5597c88dfdf6fdfb1152dfcc7772860f0169f5b1,chriswood/potpiebear,5597c88dfdf6fdfb1152dfcc7772860f0169f5b1,10,228,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205039523,tot_projects/0/205039523-b24ee29d78a874bca431ceacb831e68ddcb19859,RKouchoo/LocalDLS,b24ee29d78a874bca431ceacb831e68ddcb19859,7,207,584,1,0,0,1,0,0,0,43,0,0,43,0,0,0,72,0,0,72,0,0,0,0,0,2,0,0,0
656926620,tot_projects/0/656926620-4f8e882352f675efca7327dca7c143e6c08c8625,AlexTowle/DC_motor_mochi_blimp,4f8e882352f675efca7327dca7c143e6c08c8625,8,3701,14139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812014720,tot_projects/0/812014720-2c1231348438242b2e40159c267c7a276de22a93,ishan7369/ddos,2c1231348438242b2e40159c267c7a276de22a93,3,282,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428375470,tot_projects/0/428375470-dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e,StringSuzana/chat_server,dd22e9d39ef5e2c6c8e8fb50ec61909f52c3f30e,539,204581,763596,65,15,1,58,0,0,3,55662,15116,36,51759,0,0,18591,220276,55062,100,206929,0,0,79110,38,1,158,0,0,6
330715425,tot_projects/0/330715425-08d4a7fe8afd4c30254c08c3a5f4062aeb3c1651,ajain09/Breast-Cancer-prediction,08d4a7fe8afd4c30254c08c3a5f4062aeb3c1651,2,73,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763189234,tot_projects/0/763189234-3366aaa0ff94a444d6cfa84651dfa244d6ec25e1,TahlilMahfuz/CSE-4618_Artificial-Intelligence-Lab,3366aaa0ff94a444d6cfa84651dfa244d6ec25e1,134,42704,213968,53,20,0,40,0,0,0,22162,8449,0,18647,0,0,0,130953,78997,0,115279,0,0,0,29,0,156,0,0,0
220156306,tot_projects/0/220156306-ece876bfae32c5051a3749e53bec65df90261891,napoler/Synonymous-sentence,ece876bfae32c5051a3749e53bec65df90261891,4,348,1149,1,0,0,1,0,0,0,272,0,0,272,0,0,0,911,0,0,911,0,0,0,0,0,3,0,0,0
697336100,tot_projects/0/697336100-68b6a86886f0844a9fd1fe78b489a689262269ff,suppression-bureau/boh_app,68b6a86886f0844a9fd1fe78b489a689262269ff,25,1952,6951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142402217,tot_projects/0/142402217-0b677ce77e6ff516eab77fb196d597c389c28750,PominovaMS/MRI-depression,0b677ce77e6ff516eab77fb196d597c389c28750,6,754,3886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21633714,tot_projects/0/21633714-0b7c70942b06591498f76b824b0f826c61c07c74,mcgowan/Get,0b7c70942b06591498f76b824b0f826c61c07c74,1,170,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405153059,tot_projects/0/405153059-2ccc80789143d7361a14735d5884830688a4e4b4,microsoft/building-damage-assessment-cnn-siamese,2ccc80789143d7361a14735d5884830688a4e4b4,16,2909,13518,2,0,0,2,0,0,0,1048,0,0,1048,0,0,0,4985,0,0,4985,0,0,0,0,0,5,0,0,0
33980538,tot_projects/0/33980538-6001f7d3f534a606d2e6b5192a13743aad282909,kaniskapadhi/OpenSource,6001f7d3f534a606d2e6b5192a13743aad282909,4,155,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176405072,tot_projects/0/176405072-b1d5050827327c6e3341118f287f2c4fdd20d7e8,byund/shiftsystem-test,b1d5050827327c6e3341118f287f2c4fdd20d7e8,15,3186,14774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363120109,tot_projects/0/363120109-da3e28f576ba284ffdfc498c8eab2d63c7420f83,devineniraghava/Recirculation,da3e28f576ba284ffdfc498c8eab2d63c7420f83,3,682,3643,1,0,0,1,0,0,0,491,0,0,491,0,0,0,2848,0,0,2848,0,0,0,0,0,9,0,0,0
715094262,tot_projects/0/715094262-d7a1a6e448a6017d41518ce7ae58890c186f5ef9,ndido98/acida,d7a1a6e448a6017d41518ce7ae58890c186f5ef9,8,812,3582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237745003,tot_projects/0/237745003-d8fede795219259d38dd4d7dec73e8bb1a8c5341,tungstenfabric/tf-vcenter-plugin,d8fede795219259d38dd4d7dec73e8bb1a8c5341,1,121,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455259988,tot_projects/0/455259988-0a8dd8033445129876aa932c0de04b98185afb5e,andrebsilva/python-learn,0a8dd8033445129876aa932c0de04b98185afb5e,221,1778,5752,4,3,0,4,0,0,1,93,42,0,93,0,0,51,174,92,0,174,0,0,82,8,0,4,0,0,1
190599005,tot_projects/0/190599005-bf28484686af5d191c4295503f89b1890f211d3a,OspreyInterns/ReportGeneration,bf28484686af5d191c4295503f89b1890f211d3a,8,2254,9292,4,0,0,4,0,0,0,1648,0,0,1648,0,0,0,7016,0,0,7016,0,0,0,0,0,7,0,0,0
194499715,tot_projects/0/194499715-a22050507809f62eef7c08f691929f83a1b1f9b2,kminny/rncourse,a22050507809f62eef7c08f691929f83a1b1f9b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26125855,tot_projects/0/26125855-f26f6ad867a5aa262dc0494a853fd3be24a6c45c,UdjinM6/dash-bootstrap,f26f6ad867a5aa262dc0494a853fd3be24a6c45c,2,504,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236927631,tot_projects/0/236927631-411b05cfcfe2bfdbdaa09dd276113dca9dc4007f,bk-cva/Car-Virtual-Assistant,411b05cfcfe2bfdbdaa09dd276113dca9dc4007f,41,4077,14677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
625566108,tot_projects/0/625566108-4fde304cef5c3c7a99ce1e4dac599814395f42c8,srmaarnav/Snake-AI,4fde304cef5c3c7a99ce1e4dac599814395f42c8,5,539,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33257894,tot_projects/0/33257894-88424361ede6d9215835cd839cc51b02e5771ff7,BrainTech/pisak,88424361ede6d9215835cd839cc51b02e5771ff7,122,25301,86067,11,0,0,10,0,0,1,2931,0,0,1760,0,0,1171,9809,0,0,6381,0,0,3428,0,0,16,0,0,1
254125527,tot_projects/0/254125527-d5157b23538ddf92dddf415e88fce1d615078b54,yzx-oikawa/yzx-oikawa.github.io,d5157b23538ddf92dddf415e88fce1d615078b54,3,266,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707007935,tot_projects/0/707007935-41883daa0af4cbca591c985721c84a0f00bc00e1,daixd5520/LLM-benchmark,41883daa0af4cbca591c985721c84a0f00bc00e1,6,2621,9610,3,0,0,3,0,0,0,964,0,0,964,0,0,0,3645,0,0,3645,0,0,0,0,0,4,0,0,0
761390974,tot_projects/0/761390974-98f36e34110922caa832cefc7660614e12a05bda,aliesh1996/Selfish-herd,98f36e34110922caa832cefc7660614e12a05bda,2,121,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710344635,tot_projects/0/710344635-e68a761565e967d9b31efc2b8dc83b75f9461265,Rahdyce/Robotics-,e68a761565e967d9b31efc2b8dc83b75f9461265,23,1746,7581,2,0,0,2,0,0,0,322,0,0,322,0,0,0,1760,0,0,1760,0,0,0,0,0,3,0,0,0
842625436,tot_projects/0/842625436-c7c96866fff02b96bcdab0384b1e64db593fa269,AnkitDimri4/LeetCode2024DCC,c7c96866fff02b96bcdab0384b1e64db593fa269,56,1339,5515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243922725,tot_projects/0/243922725-2357d294af51565c0b2eb0208581cdacaef52b72,vigneshdemitro/Guvi,2357d294af51565c0b2eb0208581cdacaef52b72,98,2168,6810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
